Season,#,Team,Points,MP,W,D,L,GF,GA,GD
10/11,11,Málaga CF,46,38,13,7,18,54,68,-14
10/11,12,Racing,46,38,12,10,16,41,56,-15
10/11,13,Real Zaragoza,45,38,12,9,17,40,53,-13
10/11,14,Levante UD,45,38,12,9,17,41,52,-11
10/11,15,Real Sociedad,45,38,14,3,21,49,66,-17
10/11,16,Getafe CF,44,38,12,8,18,49,60,-11
10/11,17,RCD Mallorca,44,38,12,8,18,41,56,-15
10/11,18,RC Deportivo,43,38,10,13,15,31,47,-16
10/11,19,Hércules CF,35,38,9,8,21,36,60,-24
10/11,20,UD Almería,30,38,6,12,20,36,70,-34
11/12,1,Real Madrid,100,38,32,4,2,121,32,89
11/12,2,FC Barcelona,91,38,28,7,3,114,29,85
11/12,3,Valencia CF,61,38,17,10,11,59,44,15
11/12,4,Málaga CF,58,38,17,7,14,54,53,1
11/12,5,Atlético Madrid,56,38,15,11,12,53,46,7
11/12,6,Levante UD,55,38,16,7,15,54,50,4
11/12,7,CA Osasuna,54,38,13,15,10,44,61,-17
11/12,8,RCD Mallorca,52,38,14,10,14,42,46,-4
11/12,9,Sevilla FC,50,38,13,11,14,48,47,1
11/12,10,Athletic,49,38,12,13,13,49,52,-3
11/12,11,Getafe CF,47,38,12,11,15,40,51,-11
11/12,12,Real Sociedad,47,38,12,11,15,46,52,-6
11/12,13,Real Betis,47,38,13,8,17,47,56,-9
11/12,14,RCD Espanyol,46,38,12,10,16,46,56,-10
11/12,15,Rayo Vallecano,43,38,13,4,21,53,73,-20
11/12,16,Real Zaragoza,43,38,12,7,19,36,61,-25
11/12,17,Granada CF,42,38,12,6,20,35,56,-21
11/12,18,Villarreal CF,41,38,9,14,15,39,53,-14
11/12,19,Real Sporting,37,38,10,7,21,42,69,-27
11/12,20,Racing,27,38,4,15,19,28,63,-35
12/13,1,FC Barcelona,100,38,32,4,2,115,40,75
12/13,2,Real Madrid,85,38,26,7,5,103,42,61
12/13,3,Atlético Madrid,76,38,23,7,8,65,31,34
12/13,4,Real Sociedad,66,38,18,12,8,70,49,21
12/13,5,Valencia CF,65,38,19,8,11,67,54,13
12/13,6,Málaga CF,57,38,16,9,13,53,50,3
12/13,7,Real Betis,56,38,16,8,14,57,56,1
12/13,8,Rayo Vallecano,53,38,16,5,17,50,66,-16
12/13,9,Sevilla FC,50,38,14,8,16,58,54,4
12/13,10,Getafe CF,47,38,13,8,17,43,57,-14
12/13,11,Levante UD,46,38,12,10,16,40,57,-17
12/13,12,Athletic,45,38,12,9,17,44,65,-21
12/13,13,RCD Espanyol,44,38,11,11,16,43,52,-9
12/13,14,Real Valladolid,43,38,11,10,17,49,58,-9
12/13,15,Granada CF,42,38,11,9,18,37,54,-17
12/13,16,CA Osasuna,39,38,10,9,19,33,50,-17
12/13,17,RC Celta,37,38,10,7,21,37,52,-15
12/13,18,RCD Mallorca,36,38,9,9,20,43,72,-29
12/13,19,RC Deportivo,35,38,8,11,19,47,70,-23
12/13,20,Real Zaragoza,34,38,9,7,22,37,62,-25
13/14,1,Atlético Madrid,90,38,28,6,4,77,26,51
13/14,2,FC Barcelona,87,38,27,6,5,100,33,67
13/14,3,Real Madrid,87,38,27,6,5,104,38,66
13/14,4,Athletic,70,38,20,10,8,66,39,27
13/14,5,Sevilla FC,63,38,18,9,11,69,52,17
13/14,6,Villarreal CF,59,38,17,8,13,60,44,16
13/14,7,Real Sociedad,59,38,16,11,11,62,55,7
13/14,8,Valencia CF,49,38,13,10,15,51,53,-2
13/14,9,RC Celta,49,38,14,7,17,49,54,-5
13/14,10,Levante UD,48,38,12,12,14,35,43,-8
13/14,11,Málaga CF,45,38,12,9,17,39,46,-7
13/14,12,Rayo Vallecano,43,38,13,4,21,46,80,-34
13/14,13,Getafe CF,42,38,11,9,18,35,54,-19
13/14,14,RCD Espanyol,42,38,11,9,18,41,51,-10
13/14,15,Granada CF,41,38,12,5,21,32,56,-24
13/14,16,Elche CF,40,38,9,13,16,30,50,-20
13/14,17,UD Almería,40,38,11,7,20,43,71,-28
13/14,18,CA Osasuna,39,38,10,9,19,32,62,-30
13/14,19,Real Valladolid,36,38,7,15,16,38,60,-22
13/14,20,Real Betis,25,38,6,7,25,36,78,-42
14/15,1,FC Barcelona,94,38,30,4,4,110,21,89
14/15,2,Real Madrid,92,38,30,2,6,118,38,80
14/15,3,Atlético Madrid,78,38,23,9,6,67,29,38
14/15,4,Valencia CF,77,38,22,11,5,70,32,38
14/15,5,Sevilla FC,76,38,23,7,8,71,45,26
14/15,6,Villarreal CF,60,38,16,12,10,48,37,11
14/15,7,Athletic,55,38,15,10,13,42,41,1
14/15,8,RC Celta,51,38,13,12,13,47,44,3
14/15,9,Málaga CF,50,38,14,8,16,42,48,-6
14/15,10,RCD Espanyol,49,38,13,10,15,47,51,-4
14/15,11,Rayo Vallecano,49,38,15,4,19,46,68,-22
14/15,12,Real Sociedad,46,38,11,13,14,44,51,-7
14/15,13,Elche CF,41,38,11,8,19,35,62,-27
14/15,14,Levante UD,37,38,9,10,19,34,67,-33
14/15,15,Getafe CF,37,38,10,7,21,33,64,-31
14/15,16,RC Deportivo,35,38,7,14,17,35,60,-25
14/15,17,Granada CF,35,38,7,14,17,29,64,-35
14/15,18,SD Eibar,35,38,9,8,21,34,55,-21
14/15,19,UD Almería,29,38,8,8,22,35,64,-29
14/15,20,Córdoba CF,20,38,3,11,24,22,68,-46
