Season,#,Team,Points,MP,W,D,L,GF,GA,GD,Top Scorer,Top Scorer Goals
09/10,14,Zaragoza,41,38,10,11,17,46,64,-18,Adrián Colunga,7
09/10,15,Sporting Gijón,40,38,9,13,16,36,51,-15,Diego Castro,10
09/10,16,Racing,39,38,9,12,17,42,59,-17,Mohamed Tchité,11
09/10,17,Málaga,37,38,7,16,15,42,48,-6,Duda,8
09/10,18,Valladolid,36,38,7,15,16,37,62,-25,Diego Costa,8
09/10,19,Tenerife,36,38,9,9,20,40,74,-34,Nino,14
09/10,20,Xerez,34,38,8,10,20,38,66,-28,Mario Bermejo,12
10/11,1,Barcelona,96,38,30,6,2,95,21,+74,Lionel Messi,31
10/11,2,Real Madrid,92,38,29,5,4,102,33,+69,Cristiano Ronaldo,40
10/11,3,Valencia,71,38,21,8,9,64,44,+20,Roberto Soldado,18
10/11,4,Villarreal,62,38,18,8,12,54,44,+10,Giuseppe Rossi,18
10/11,5,Sevilla,58,38,17,7,14,62,61,+1,Álvaro Negredo,20
10/11,6,Athletic Club,58,38,18,4,16,59,55,+4,Fernando Llorente,18
10/11,7,Atlético Madrid,58,38,17,7,14,62,53,+9,Sergio Agüero,20
10/11,8,Espanyol,49,38,15,4,19,46,55,-9,Dani Osvaldo,13
10/11,9,Osasuna,47,38,13,8,17,45,46,-1,Enrique Sola,7
10/11,10,Sporting Gijón,47,38,11,14,13,35,42,-7,Diego Castro,9
10/11,11,Málaga,46,38,13,7,18,54,68,-14,Salomón Rondón,14
10/11,12,Racing,46,38,12,10,16,41,56,-15,Markus Rosenberg,9
10/11,13,Zaragoza,45,38,12,9,17,40,53,-13,Gabi,11
10/11,14,Levante,45,38,12,9,17,41,52,-11,Felipe Caicedo,13
10/11,15,Real Sociedad,45,38,14,3,21,49,66,-17,Antoine Griezmann,7
10/11,16,Getafe,44,38,12,8,18,49,60,-11,Manu del Moral,9
10/11,17,Mallorca,44,38,12,8,18,41,56,-15,Pierre Webó,11
10/11,18,Deportivo,43,38,10,13,15,31,47,-16,Adrián López,8
10/11,19,Hércules,35,38,9,8,21,36,60,-24,David Trezeguet,12
10/11,20,Almería,30,38,6,12,20,36,70,-34,Pablo Piatti,8
11/12,1,Real Madrid,100,38,32,4,2,121,32,+89,Cristiano Ronaldo,46
11/12,2,Barcelona,91,38,28,7,3,114,29,+85,Lionel Messi,50
11/12,3,Valencia,61,38,17,10,11,59,44,+15,Roberto Soldado,17
11/12,4,Málaga,58,38,17,7,14,54,53,+1,Salomón Rondón,11
11/12,5,Atlético Madrid,56,38,15,11,12,53,46,+7,Radamel Falcao,24
11/12,6,Levante,55,38,16,7,15,54,50,+4,Arouna Koné,15
11/12,7,Osasuna,54,38,13,15,10,44,61,-17,Raúl García,11
11/12,8,Mallorca,52,38,14,10,14,42,46,-4,Víctor Casadesús,9
11/12,9,Sevilla,50,38,13,11,14,48,47,+1,Álvaro Negredo,14
11/12,10,Athletic Club,49,38,12,13,13,49,52,-3,Fernando Llorente,17
11/12,11,Getafe,47,38,12,11,15,40,51,-11,Miku,12
11/12,12,Real Sociedad,47,38,12,11,15,46,52,-6,Carlos Vela,12
11/12,13,Betis,47,38,13,8,17,47,56,-9,Rubén Castro,16
11/12,14,Espanyol,46,38,12,10,16,46,56,-10,Kalu Uche,6
11/12,15,Rayo Vallecano,43,38,13,4,21,53,73,-20,Michu,15
11/12,16,Zaragoza,43,38,12,7,19,36,61,-25,Hélder Postiga,9
11/12,17,Granada,42,38,12,6,20,35,56,-21,Odion Ighalo,6
11/12,18,Villarreal,41,38,9,14,15,39,53,-14,Marco Ruben,9
11/12,19,Sporting Gijón,37,38,10,7,21,42,69,-27,David Barral,9
11/12,20,Racing,27,38,4,15,19,28,63,-35,Cristhian Stuani,9
12/13,1,Barcelona,100,38,32,4,2,115,40,+75,Lionel Messi,46
12/13,2,Real Madrid,85,38,26,7,5,103,42,+61,Cristiano Ronaldo,34
12/13,3,Atlético Madrid,76,38,23,7,8,65,31,+34,Radamel Falcao,28
12/13,4,Real Sociedad,66,38,18,12,8,70,49,+21,Carlos Vela,14
12/13,5,Valencia,65,38,19,8,11,67,54,+13,Roberto Soldado,24
12/13,6,Málaga,57,38,16,9,13,53,50,+3,Isco,9
12/13,7,Betis,56,38,16,8,14,57,56,+1,Rubén Castro,18
12/13,8,Rayo Vallecano,53,38,16,5,17,50,66,-16,Piti,18
12/13,9,Sevilla,50,38,14,8,16,58,54,+4,Álvaro Negredo,25
12/13,10,Getafe,47,38,13,8,17,43,57,-14,Diego Castro,7
12/13,11,Levante,46,38,12,10,16,40,57,-17,Obafemi Martins,7
12/13,12,Athletic Club,45,38,12,9,17,44,65,-21,Aritz Aduriz,14
12/13,13,Espanyol,44,38,11,11,16,43,52,-9,Joan Verdú,9
12/13,14,Valladolid,43,38,11,10,17,49,58,-9,Óscar,12
12/13,15,Granada,42,38,11,9,18,37,54,-17,Youssef El-Arabi,8
12/13,16,Osasuna,39,38,10,9,19,33,50,-17,Enrique Sola,8
12/13,17,Celta Vigo,37,38,10,7,21,37,52,-15,Iago Aspas,12
12/13,18,Mallorca,36,38,9,9,20,43,72,-29,Tomer Hemed,11
12/13,19,Deportivo,35,38,8,11,19,47,70,-23,Riki,13
12/13,20,Zaragoza,34,38,9,7,22,37,62,-25,Hélder Postiga,14
13/14,1,Atlético Madrid,90,38,28,6,4,77,26,+51,Diego Costa,27
13/14,2,Barcelona,87,38,27,6,5,100,33,+67,Lionel Messi,28
13/14,3,Real Madrid,87,38,27,6,5,104,38,+66,Cristiano Ronaldo,31
13/14,4,Athletic Club,70,38,20,10,8,66,39,+27,Aritz Aduriz,16
13/14,5,Sevilla,63,38,18,9,11,69,52,+17,Kévin Gameiro,15
13/14,6,Villarreal,59,38,17,8,13,60,44,+16,Ikechukwu Uche,13
13/14,7,Real Sociedad,59,38,16,11,11,62,55,+7,Antoine Griezmann,16
13/14,8,Valencia,49,38,13,10,15,51,53,-2,Jonas,10
13/14,9,Celta Vigo,49,38,14,7,17,49,54,-5,Nolito,14
13/14,10,Levante,48,38,12,12,14,35,43,-8,David Barral,7
13/14,11,Málaga,45,38,12,9,17,39,46,-7,Roque Santa Cruz,6
13/14,12,Rayo Vallecano,43,38,13,4,21,46,80,-34,Joaquín Larrivey,12
13/14,13,Getafe,42,38,11,9,18,35,54,-19,Ángel Lafita,7
13/14,14,Espanyol,42,38,11,9,18,41,51,-10,Sergio García,12
13/14,15,Granada,41,38,12,5,21,32,56,-24,Youssef El-Arabi,12
13/14,16,Elche,40,38,9,13,16,30,50,-20,Richmond Boakye,6
13/14,17,Almería,40,38,11,7,20,43,71,-28,Verza,8
13/14,18,Osasuna,39,38,10,9,19,32,62,-30,Oriol Riera,13
13/14,19,Valladolid,36,38,7,15,16,38,60,-22,Javi Guerra,15
13/14,20,Betis,25,38,6,7,25,36,78,-42,Rubén Castro,10
14/15,1,Barcelona,94,38,30,4,4,110,21,+89,Lionel Messi,43
14/15,2,Real Madrid,92,38,30,2,6,118,38,+80,Cristiano Ronaldo,48
14/15,3,Atlético Madrid,78,38,23,9,6,67,29,+38,Antoine Griezmann,22
14/15,4,Valencia,77,38,22,11,5,70,32,+38,Daniel Parejo,12
14/15,5,Sevilla,76,38,23,7,8,71,45,+26,Carlos Bacca,20
14/15,6,Villarreal,60,38,16,12,10,48,37,+11,Luciano Vietto,12
14/15,7,Athletic Club,55,38,15,10,13,42,41,+1,Aritz Aduriz,18
